,Rating,Accuracy,Shot fired,Hits,Deaths,DMG_Get
654,35.9,8.00%,3703,298,25,320
655,26.4,7.40%,4240,315,47,456
656,23.5,8.80%,3787,332,62,553
657,15.6,6.50%,5032,326,97,787
658,5.3,3.00%,2149,65,45,435
659,3.2,1.90%,2108,39,41,421
660,67,14.60%,1700,249,7,159
661,59.6,22.10%,1210,268,19,215
662,58.5,13.30%,1936,258,12,185
663,55.1,12.10%,1428,173,5,129
664,42.7,8.90%,1953,174,12,159
665,33.2,14.60%,989,144,15,186
666,28.4,6.60%,1890,124,8,164
667,26,15.80%,1027,162,24,272
668,24,7.50%,1889,141,19,224
669,68.2,20.80%,1548,322,27,270
670,67.9,26.70%,1398,373,47,334
671,60.4,26.30%,1377,362,55,370
672,57,22.20%,1327,295,30,296
673,44.8,24.60%,923,227,48,347
674,25,14.60%,1126,164,44,348
675,18.9,15.80%,751,119,56,341
676,108.8,27.10%,1727,468,18,220
677,71.5,24.40%,1617,395,27,273
678,71.3,21.80%,1829,399,24,267
679,55.3,9.80%,2409,237,12,170
680,49.5,15.90%,1273,203,9,179
681,27.5,8.70%,1987,173,21,245
682,24.8,12.30%,1624,199,36,332
683,10,6.50%,799,52,18,195
684,2.2,1.20%,1439,17,23,262
685,70.8,32.60%,1378,449,33,348
686,54.3,18.70%,3663,686,73,578
687,47.6,13.90%,3011,419,29,374
688,47.3,12.20%,2702,330,21,288
689,42.6,15.30%,2412,368,35,375
690,41.2,18.90%,2602,491,58,547
691,33.6,13.40%,2503,335,30,421
692,27.2,10.50%,2928,306,47,453
693,126,24.60%,3343,821,24,323
694,107.6,16.00%,2572,411,9,167
695,89.5,15.30%,4068,621,23,301
696,64.7,12.70%,5006,636,39,410
697,49.5,11.50%,4999,573,39,474
698,37,6.00%,4254,256,21,257
699,29.8,8.80%,3764,331,49,435
